pair,x,y,z,w,dwdq1,dwdq2,dwdq3
131, 0.000,0.100,0.000,0.050,-0.000,-1.066,-0.000
132, 0.000,0.100,0.000,0.050,-0.000,-1.066,-0.000
133, 0.000,0.100,0.000,0.005,-0.000,-0.083,-0.000
134, 0.000,0.100,0.100,0.050,-0.000,-1.066,-1.066
135, 0.000,0.100,0.100,0.250,-0.000,-7.500,-7.500
136, 0.000,0.100,0.100,0.250,-0.000,-7.500,-7.500
137, 0.000,0.100,0.100,0.005,-0.000,-0.083,-0.083
138, 0.000,0.100,0.100,0.050,-0.000,-1.066,-1.066
139, 0.000,0.100,0.100,0.050,-0.000,-1.066,-1.066
140, 0.000,0.100,0.100,0.250,-0.000,-7.500,-7.500
141, 0.000,0.100,0.100,0.050,-0.000,-1.066,-1.066
142, 0.000,0.100,0.100,0.250,-0.000,-7.500,-7.500
143, 0.000,0.100,0.100,0.005,-0.000,-0.083,-0.083
144, 0.000,0.100,0.100,0.050,-0.000,-1.066,-1.066
145, 0.000,0.100,0.100,0.050,-0.000,-1.066,-1.066
146, 0.000,0.100,0.100,0.250,-0.000,-7.500,-7.500
147, 0.000,0.100,0.100,0.005,-0.000,-0.083,-0.083
148, 0.000,0.100,0.100,0.050,-0.000,-1.066,-1.066
149, 0.000,0.100,0.100,0.050,-0.000,-1.066,-1.066
150, 0.000,0.100,0.100,0.005,-0.000,-0.083,-0.083
151, 0.000,0.100,0.200,0.050,-0.000,-1.066,-2.132
152, 0.000,0.100,0.200,0.250,-0.000,-7.500,-15.000
153, 0.000,0.100,0.200,0.005,-0.000,-0.083,-0.167
154, 0.000,0.100,0.200,0.050,-0.000,-1.066,-2.132
155, 0.000,0.100,0.200,0.250,-0.000,-7.500,-15.000
156, 0.000,0.100,0.200,0.050,-0.000,-1.066,-2.132
157, 0.000,0.100,0.200,0.250,-0.000,-7.500,-15.000
158, 0.000,0.100,0.200,0.050,-0.000,-1.066,-2.132
159, 0.000,0.100,0.200,0.005,-0.000,-0.083,-0.167
160, 0.000,0.100,0.200,0.250,-0.000,-7.500,-15.000
161, 0.000,0.100,0.200,0.050,-0.000,-1.066,-2.132
162, 0.000,0.100,0.200,0.050,-0.000,-1.066,-2.132
163, 0.000,0.100,0.200,0.005,-0.000,-0.083,-0.167
164, 0.000,0.100,0.200,0.250,-0.000,-7.500,-15.000
165, 0.000,0.100,0.200,0.050,-0.000,-1.066,-2.132
166, 0.000,0.100,0.200,0.050,-0.000,-1.066,-2.132
167, 0.000,0.100,0.200,0.005,-0.000,-0.083,-0.167
168, 0.000,0.100,0.300,0.050,-0.000,-1.066,-3.198
169, 0.000,0.100,0.300,0.250,-0.000,-7.500,-22.500
170, 0.000,0.100,0.300,0.250,-0.000,-7.500,-22.500
171, 0.000,0.100,0.300,0.005,-0.000,-0.083,-0.250
172, 0.000,0.100,0.300,0.050,-0.000,-1.066,-3.198
173, 0.000,0.100,0.300,0.050,-0.000,-1.066,-3.198
174, 0.000,0.100,0.300,0.250,-0.000,-7.500,-22.500
